"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Paź. '18","3,209","3,267","3,407","3,100","-0,80%"
"Wrz. '18","3,235","3,206","3,364","3,159","1,63%"
"Sie. '18","3,183","3,190","3,217","3,084","-0,13%"
"Lip. '18","3,187","3,255","3,357","3,063","-0,78%"
"Cze. '18","3,212","3,269","3,379","3,132","-1,92%"
"Maj '18","3,275","3,089","3,390","3,071","6,47%"
"Kwi. '18","3,076","3,189","3,225","2,960","-2,87%"
"Mar. '18","3,167","3,380","3,405","3,167","-5,46%"
"Luty '18","3,350","3,572","3,640","3,348","-7,48%"
"Sty. '18","3,621","3,320","3,621","3,212","9,73%"
"Gru. '17","3,300","3,361","3,382","3,204","-1,37%"
"Lis. '17","3,346","3,452","3,521","3,307","-2,85%"
"Paź. '17","3,444","3,378","3,543","3,265","2,04%"
"Wrz. '17","3,375","3,298","3,425","3,122","2,65%"
"Sie. '17","3,288","3,386","3,456","3,261","-2,38%"
"Lip. '17","3,368","3,350","3,451","3,243","1,26%"
"Cze. '17","3,326","3,245","3,411","3,111","2,81%"
"Maj '17","3,235","3,479","3,516","3,213","-5,79%"
"Kwi. '17","3,434","3,496","3,504","3,354","-2,19%"
"Mar. '17","3,511","3,845","3,870","3,476","-8,09%"
"Luty '17","3,820","3,885","3,930","3,704","-1,75%"
"Sty. '17","3,888","3,687","3,973","3,489","7,08%"
"Gru. '16","3,631","3,662","3,884","3,411","-0,41%"
"Lis. '16","3,646","3,090","3,751","3,047","17,80%"
"Paź. '16","3,095","2,914","3,191","2,866","5,92%"
"Wrz. '16","2,922","2,793","2,975","2,747","5,41%"
"Sie. '16","2,772","2,880","2,880","2,606","-3,75%"
"Lip. '16","2,880","2,830","2,982","2,757","-0,93%"
"Cze. '16","2,907","3,100","3,303","2,907","-6,50%"
"Maj '16","3,109","3,085","3,150","2,911","0,68%"
"Kwi. '16","3,088","2,851","3,108","2,807","8,62%"
"Mar. '16","2,843","2,964","3,064","2,793","-3,69%"
"Luty '16","2,952","3,147","3,226","2,865","-6,61%"
"Sty. '16","3,161","2,985","3,377","2,737","7,19%"
"Gru. '15","2,949","2,699","3,344","2,654","9,59%"
"Lis. '15","2,691","2,678","2,970","2,495","0,49%"
"Paź. '15","2,678","2,853","2,865","2,533","-6,10%"
"Wrz. '15","2,852","2,977","3,216","2,717","-4,23%"
"Sie. '15","2,978","2,957","3,183","2,690","0,98%"
"Lip. '15","2,949","3,332","3,332","2,856","-11,41%"
"Cze. '15","3,329","2,947","3,403","2,903","13,04%"
"Maj '15","2,945","2,652","3,046","2,573","11,26%"
"Kwi. '15","2,647","2,327","2,707","2,236","13,85%"
"Mar. '15","2,325","2,183","2,565","2,122","7,39%"
"Luty '15","2,165","2,012","2,429","1,983","8,47%"
"Sty. '15","1,996","2,524","2,528","1,939","-32,22%"
"Gru. '14","2,945","2,406","2,734","2,389","22,76%"
"Lis. '14","2,399","2,578","2,751","2,363","-6,44%"
"Paź. '14","2,564","3,069","3,096","2,468","-14,28%"
"Wrz. '14","2,991","3,137","3,345","2,810","-4,50%"
"Sie. '14","3,132","3,436","3,582","3,003","-8,45%"
"Lip. '14","3,421","3,468","3,532","3,163","-2,54%"
"Cze. '14","3,510","3,692","3,746","3,349","-4,36%"
"Maj '14","3,670","4,049","4,120","3,590","-9,07%"
"Kwi. '14","4,036","4,222","4,293","3,998","-4,59%"
"Mar. '14","4,230","4,459","4,527","3,976","-3,53%"
"Luty '14","4,385","4,735","4,735","4,272","-7,66%"
"Sty. '14","4,749","4,395","4,790","4,264","9,10%"
"Gru. '13","4,353","4,544","4,634","4,153","-3,82%"
"Lis. '13","4,526","4,256","4,611","4,167","8,88%"
"Paź. '13","4,157","4,508","4,508","4,084","-7,52%"
"Wrz. '13","4,495","4,475","5,037","4,209","0,67%"
"Sie. '13","4,465","4,026","4,626","3,998","9,33%"
"Lip. '13","4,084","4,350","4,371","3,763","-6,48%"
"Cze. '13","4,367","3,610","4,591","3,455","20,77%"
"Maj '13","3,616","3,223","3,634","3,004","12,40%"
"Kwi. '13","3,217","3,927","3,927","3,166","-18,04%"
"Mar. '13","3,925","3,969","4,075","3,681","-1,23%"
"Luty '13","3,974","3,946","4,119","3,885","1,20%"
"Sty. '13","3,927","3,751","4,107","3,703","5,28%"
"Gru. '12","3,730","4,030","4,138","3,683","-7,40%"
"Lis. '12","4,028","4,556","4,556","3,988","-11,94%"
"Paź. '12","4,574","4,832","4,832","4,428","-2,26%"
"Wrz. '12","4,680","4,854","5,021","4,680","-3,78%"
"Sie. '12","4,864","4,878","5,087","4,705","-2,76%"
"Lip. '12","5,002","5,183","5,200","4,816","-2,95%"
"Cze. '12","5,154","5,457","5,478","4,999","-5,67%"
"Maj '12","5,464","5,390","5,536","5,286","1,07%"
"Kwi. '12","5,406","5,498","5,628","5,361","-2,38%"
"Mar. '12","5,538","5,477","5,577","5,314","1,28%"
"Luty '12","5,468","5,585","5,663","5,453","-2,08%"
"Sty. '12","5,584","5,899","6,017","5,569","-5,47%"
"Gru. '11","5,907","5,944","6,032","5,807","-0,35%"
"Lis. '11","5,928","5,776","6,234","5,709","3,22%"
"Paź. '11","5,743","5,985","6,159","5,636","-2,94%"
"Wrz. '11","5,917","5,622","6,136","5,501","5,00%"
"Sie. '11","5,635","5,782","5,920","5,554","-2,91%"
"Lip. '11","5,804","5,858","5,951","5,734","-0,67%"
"Cze. '11","5,843","6,067","6,074","5,754","-3,60%"
"Maj '11","6,061","6,146","6,171","6,005","-1,38%"
"Kwi. '11","6,146","6,342","6,342","6,066","-2,21%"
"Mar. '11","6,285","6,232","6,370","6,210","0,96%"
"Luty '11","6,225","6,345","6,378","6,190","-1,81%"
"Sty. '11","6,340","6,140","6,450","6,012","4,43%"
"Gru. '10","6,071","6,058","6,140","5,826","0,33%"
"Lis. '10","6,051","5,665","6,222","5,635","6,79%"
"Paź. '10","5,666","5,558","5,706","5,280","3,26%"
"Wrz. '10","5,487","5,430","5,638","5,418","1,05%"
"Sie. '10","5,430","5,882","5,926","5,286","-7,68%"
"Lip. '10","5,882","5,948","5,978","5,772","-0,94%"
"Cze. '10","5,938","5,830","6,260","5,760","-2,82%"
"Maj '10","6,110","5,668","6,110","5,584","7,80%"
"Kwi. '10","5,668","5,535","5,744","5,447","2,42%"
"Mar. '10","5,534","6,033","6,060","5,491","-8,69%"
"Luty '10","6,061","6,105","6,225","5,990","-0,90%"
"Sty. '10","6,116","6,271","6,284","6,008","-1,91%"
"Gru. '09","6,235","6,186","6,299","6,129","0,91%"
"Lis. '09","6,179","6,150","6,229","6,076","0,77%"
"Paź. '09","6,132","6,197","6,293","6,035","-1,02%"
"Wrz. '09","6,195","6,142","6,329","6,053","1,62%"
"Sie. '09","6,096","6,110","6,227","5,983","0,18%"
"Lip. '09","6,085","6,342","6,342","6,077","-3,64%"
"Cze. '09","6,315","6,299","6,519","6,226","0,08%"
"Maj '09","6,310","6,187","6,479","6,180","1,66%"
"Kwi. '09","6,207","6,248","6,310","6,079","-1,07%"
"Mar. '09","6,274","6,191","6,457","5,981","1,34%"
"Luty '09","6,191","5,724","6,428","5,597","7,97%"
"Sty. '09","5,734","5,575","5,829","5,214","5,06%"
"Gru. '08","5,458","5,919","6,107","5,410","-9,00%"
"Lis. '08","5,998","6,515","6,636","5,864","-9,63%"
"Paź. '08","6,637","5,856","7,423","5,800","14,19%"
