"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Paź. '18","3,194","3,182","3,272","3,094","1,36%"
"Wrz. '18","3,151","3,081","3,248","3,077","1,84%"
"Sie. '18","3,094","3,102","3,190","3,006","-1,06%"
"Lip. '18","3,127","3,149","3,270","3,012","-0,35%"
"Cze. '18","3,138","3,179","3,311","3,048","-1,29%"
"Maj '18","3,179","3,052","3,319","3,052","4,57%"
"Kwi. '18","3,040","3,154","3,183","2,910","-3,65%"
"Mar. '18","3,155","3,274","3,343","3,141","-3,63%"
"Luty '18","3,274","3,400","3,420","3,261","-2,03%"
"Sty. '18","3,342","3,148","3,410","3,063","5,96%"
"Gru. '17","3,154","3,215","3,224","3,009","0,45%"
"Lis. '17","3,140","3,318","3,421","3,090","-5,11%"
"Paź. '17","3,309","3,244","3,427","3,152","2,22%"
"Wrz. '17","3,237","3,164","3,343","3,003","2,24%"
"Sie. '17","3,166","3,321","3,394","3,135","-2,52%"
"Lip. '17","3,248","3,323","3,415","3,134","-1,72%"
"Cze. '17","3,305","3,175","3,381","3,079","4,62%"
"Maj '17","3,159","3,478","3,519","3,159","-7,82%"
"Kwi. '17","3,427","3,477","3,554","3,345","-5,36%"
"Mar. '17","3,621","3,946","3,948","3,493","-6,51%"
