"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Paź. '18","3,038","3,137","3,221","2,946","-2,57%"
"Wrz. '18","3,118","3,103","3,473","3,036","0,94%"
"Sie. '18","3,089","3,096","3,152","2,991","0,19%"
"Lip. '18","3,083","3,147","3,252","2,991","-0,87%"
"Cze. '18","3,110","3,148","3,257","3,019","-0,83%"
"Maj '18","3,136","2,966","3,243","2,960","6,16%"
"Kwi. '18","2,954","3,023","3,058","2,807","-1,70%"
"Mar. '18","3,005","3,157","3,214","3,002","-4,97%"
"Luty '18","3,162","3,360","3,411","3,132","-1,62%"
"Sty. '18","3,214","3,101","3,260","2,990","3,68%"
"Gru. '17","3,100","3,170","3,254","3,008","-1,71%"
"Lis. '17","3,154","3,252","3,346","3,107","-3,16%"
"Paź. '17","3,257","3,168","3,381","3,082","2,97%"
"Wrz. '17","3,163","3,076","3,222","2,906","2,90%"
"Sie. '17","3,074","3,195","3,324","3,055","-2,94%"
"Lip. '17","3,167","3,070","3,236","3,061","-3,59%"
"Cze. '17","3,285","3,060","3,285","2,936","7,39%"
"Maj '17","3,059","3,243","3,300","3,021","-5,79%"
"Kwi. '17","3,247","3,293","3,305","3,164","-1,34%"
"Mar. '17","3,291","3,653","3,662","3,287","-8,96%"
"Luty '17","3,615","3,633","3,729","3,582","10,69%"
"Sty. '17","3,266","3,182","3,319","3,049","4,25%"
"Gru. '16","3,133","3,171","3,338","2,927","-0,38%"
"Lis. '16","3,145","2,657","3,255","2,623","18,10%"
"Paź. '16","2,663","2,442","2,757","2,398","9,14%"
"Wrz. '16","2,440","2,324","2,524","2,273","5,17%"
"Sie. '16","2,320","2,410","2,433","2,179","-3,29%"
"Lip. '16","2,399","2,309","2,494","2,289","1,18%"
"Cze. '16","2,371","2,598","2,812","2,369","-8,28%"
"Maj '16","2,585","2,493","2,639","2,367","-2,82%"
"Kwi. '16","2,660","2,552","2,677","2,493","5,06%"
"Mar. '16","2,532","2,672","2,749","2,521","-4,49%"
"Luty '16","2,651","2,814","2,892","2,579","-5,89%"
"Sty. '16","2,817","2,823","3,104","2,566","1,81%"
"Gru. '15","2,767","2,573","3,207","2,530","7,79%"
"Lis. '15","2,567","2,568","2,854","2,485","-0,16%"
