"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Paź. '18","2,203","2,291","2,377","2,127","-3,25%"
"Wrz. '18","2,277","2,286","2,399","2,213","1,16%"
"Sie. '18","2,251","2,268","2,303","2,185","-0,75%"
"Lip. '18","2,268","2,248","2,335","2,187","2,62%"
"Cze. '18","2,210","2,227","2,303","2,166","-0,76%"
"Maj '18","2,227","2,201","2,407","2,143","3,92%"
"Kwi. '18","2,143","2,145","2,281","2,009","0,99%"
"Mar. '18","2,122","2,395","2,490","2,068","-10,92%"
"Luty '18","2,382","2,642","2,644","2,325","1,93%"
"Sty. '18","2,337","2,242","2,337","2,084","3,82%"
"Gru. '17","2,251","2,350","2,447","2,209","-3,10%"
"Lis. '17","2,323","2,449","2,507","2,240","-4,21%"
"Paź. '17","2,425","2,466","2,571","2,375","-1,50%"
"Wrz. '17","2,462","2,382","2,505","2,238","3,53%"
"Sie. '17","2,378","2,469","2,536","2,338","-3,45%"
"Lip. '17","2,463","2,460","2,581","2,378","-3,53%"
"Cze. '17","2,553","2,482","2,593","2,385","2,65%"
"Maj '17","2,487","2,674","2,695","2,462","-6,22%"
"Kwi. '17","2,652","2,666","2,717","2,623","-1,08%"
"Mar. '17","2,681","2,928","2,931","2,668","-7,33%"
"Luty '17","2,893","2,922","2,998","2,823","-0,52%"
"Sty. '17","2,908","2,681","2,924","2,595","8,22%"
"Gru. '16","2,687","2,592","2,744","2,502","5,13%"
"Lis. '16","2,556","2,295","2,679","2,259","11,32%"
"Paź. '16","2,296","2,140","2,386","2,066","6,69%"
"Wrz. '16","2,152","2,031","2,223","1,974","8,20%"
"Sie. '16","1,989","2,022","2,094","1,892","-2,02%"
"Lip. '16","2,030","1,920","2,098","1,911","4,86%"
"Cze. '16","1,936","2,094","2,379","1,936","-7,63%"
"Maj '16","2,096","2,018","2,125","1,904","4,33%"
"Kwi. '16","2,009","1,916","2,056","1,864","4,31%"
"Mar. '16","1,926","1,960","2,063","1,847","-1,63%"
"Luty '16","1,958","2,147","2,203","1,929","-10,14%"
"Sty. '16","2,179","2,118","2,340","1,578","6,81%"
"Gru. '15","2,040","1,895","2,458","1,844","9,03%"
"Lis. '15","1,871","1,934","2,134","1,813","-1,42%"
"Paź. '15","1,898","2,216","2,237","1,858","-15,12%"
"Wrz. '15","2,236","2,277","2,431","2,150","-2,95%"
"Sie. '15","2,304","2,264","2,500","2,004","1,86%"
"Lip. '15","2,262","2,530","2,704","2,099","-10,80%"
"Cze. '15","2,536","2,322","2,721","2,322","9,78%"
"Maj '15","2,310","2,173","2,551","1,990","6,75%"
"Kwi. '15","2,164","1,890","2,254","1,784","14,62%"
"Mar. '15","1,888","1,842","2,262","1,753","4,14%"
"Luty '15","1,813","1,654","2,064","1,654","6,33%"
"Sty. '15","1,705","2,008","2,072","1,587","-20,29%"
"Gru. '14","2,139","1,932","2,311","1,869","12,82%"
"Lis. '14","1,896","1,936","2,310","1,808","-0,47%"
"Paź. '14","1,905","2,197","2,337","1,634","-13,29%"
"Wrz. '14","2,197","2,471","2,575","2,094","-11,12%"
"Sie. '14","2,472","2,853","3,003","2,385","-10,89%"
"Lip. '14","2,774","2,880","3,007","2,558","-3,95%"
"Cze. '14","2,888","3,095","3,206","2,756","-5,96%"
"Maj '14","3,071","3,364","3,439","2,873","-7,30%"
"Kwi. '14","3,313","3,528","3,687","3,265","-5,53%"
"Mar. '14","3,507","3,673","3,888","3,259","-3,84%"
"Luty '14","3,647","4,083","4,091","3,231","-9,23%"
"Sty. '14","4,018","3,455","4,489","3,180","17,18%"
"Gru. '13","3,429","3,546","3,749","3,278","-2,75%"
"Lis. '13","3,526","3,504","3,569","3,333","4,85%"
"Paź. '13","3,363","3,569","3,594","3,177","-6,27%"
"Wrz. '13","3,588","3,581","4,143","3,346","0,42%"
"Sie. '13","3,573","3,186","3,884","3,147","11,10%"
"Lip. '13","3,216","3,520","3,548","2,643","-9,02%"
"Cze. '13","3,535","2,966","3,915","2,845","19,02%"
"Maj '13","2,970","2,706","3,062","2,158","8,79%"
"Kwi. '13","2,730","3,351","3,356","2,702","-18,82%"
"Mar. '13","3,363","3,610","4,043","3,028","-7,13%"
"Luty '13","3,621","3,342","3,759","2,629","8,94%"
"Sty. '13","3,324","3,156","3,776","2,781","5,36%"
