Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2008-10-31,6.72,6.91,6.72,6.9
2008-11-28,6.9,6.9,6.65,6.65
2008-12-31,6.64,6.64,5.97,5.97
2009-01-30,5.95,5.95,4.94,4.94
2009-02-27,4.9,4.9,4.57,4.57
2009-03-31,4.55,4.55,4.29,4.3
2009-04-30,4.29,4.51,4.29,4.51
2009-05-29,4.51,4.87,4.51,4.87
2009-06-30,4.89,4.89,4.73,4.73
2009-07-31,4.71,4.71,4.45,4.46
2009-08-31,4.45,4.45,4.42,4.44
2009-09-30,4.45,4.45,4.43,4.44
2009-10-30,4.44,4.45,4.42,4.42
2009-11-30,4.41,4.42,4.41,4.41
2009-12-31,4.4,4.47,4.4,4.47
2010-01-29,4.47,4.48,4.42,4.42
2010-02-26,4.42,4.42,4.36,4.37
2010-03-31,4.36,4.36,4.31,4.31
2010-04-30,4.29,4.29,4.17,4.18
2010-05-31,4.19,4.19,4.17,4.17
2010-06-30,4.17,4.19,4.17,4.19
2010-07-30,4.2,4.2,4.18,4.19
2010-08-31,4.19,4.2,4.18,4.19
2010-09-30,4.19,4.22,4.19,4.22
2010-10-29,4.22,4.23,4.21,4.22
2010-11-30,4.22,4.27,4.22,4.27
2010-12-31,4.29,4.33,4.29,4.33
2011-01-31,4.33,4.45,4.33,4.45
2011-02-28,4.45,4.48,4.45,4.48
2011-03-31,4.48,4.51,4.48,4.51
2011-04-29,4.52,4.61,4.52,4.6
2011-05-31,4.61,4.71,4.6,4.71
2011-06-30,4.71,4.8,4.71,4.79
2011-07-29,4.8,4.81,4.8,4.81
2011-08-31,4.8,4.86,4.8,4.86
2011-09-30,4.86,4.87,4.86,4.87
2011-10-31,4.87,4.94,4.87,4.94
2011-11-30,4.94,4.97,4.94,4.97
2011-12-30,4.97,5.01,4.97,5
2012-01-31,5,5.01,5,5
2012-02-29,5,5,4.98,4.98
2012-03-30,4.98,4.98,4.96,4.96
2012-04-30,4.96,4.98,4.96,4.98
2012-05-31,4.97,5.14,4.97,5.14
2012-06-29,5.14,5.15,5.14,5.15
2012-07-31,5.15,5.17,5.15,5.15
2012-08-31,5.15,5.15,5.02,5.02
2012-09-28,5.01,5.01,4.95,4.95
2012-10-31,4.95,4.95,4.72,4.72
2012-11-30,4.71,4.71,4.45,4.45
2012-12-31,4.42,4.42,4.02,4.02
2013-01-31,4,4,3.86,3.86
2013-02-28,3.85,3.85,3.63,3.63
2013-03-29,3.63,3.63,3.39,3.39
2013-04-30,3.39,3.39,3.03,3.03
2013-05-31,3.01,3.01,2.66,2.66
2013-06-28,2.66,2.71,2.66,2.71
2013-07-31,2.71,2.72,2.71,2.72
2013-08-30,2.72,2.75,2.72,2.75
2013-09-30,2.75,2.75,2.73,2.73
2013-10-31,2.73,2.73,2.73,2.73
2013-11-29,2.73,2.73,2.73,2.73
2013-12-31,2.73,2.73,2.72,2.73
2014-01-31,2.73,2.74,2.73,2.74
2014-02-28,2.74,2.76,2.74,2.76
2014-03-31,2.76,2.76,2.76,2.76
2014-04-30,2.76,2.76,2.76,2.76
2014-05-30,2.76,2.77,2.76,2.77
2014-06-30,2.77,2.77,2.72,2.72
2014-07-31,2.72,2.72,2.71,2.71
2014-08-29,2.71,2.71,2.62,2.62
2014-09-30,2.6,2.6,2.24,2.24
2014-10-31,2.22,2.22,1.94,1.94
2014-11-28,1.94,2.04,1.93,2.04
2014-12-31,2.04,2.04,2.04,2.04
2015-01-30,2.04,2.04,1.98,1.98
2015-02-27,1.97,1.97,1.8,1.8
2015-03-31,1.79,1.79,1.67,1.67
2015-04-30,1.67,1.68,1.67,1.68
2015-05-29,1.68,1.78,1.68,1.78
2015-06-30,1.78,1.81,1.78,1.81
2015-07-31,1.81,1.82,1.81,1.82
2015-08-31,1.82,1.82,1.82,1.82
2015-09-30,1.82,1.83,1.82,1.83
2015-10-30,1.83,1.83,1.82,1.82
2015-11-30,1.82,1.82,1.81,1.81
2015-12-31,1.81,1.81,1.78,1.78
2016-01-29,1.78,1.78,1.76,1.76
2016-02-29,1.76,1.76,1.75,1.75
2016-03-31,1.75,1.75,1.75,1.75
2016-04-29,1.75,1.75,1.75,1.75
2016-05-31,1.75,1.75,1.75,1.75
2016-06-30,1.75,1.8,1.75,1.8
2016-07-29,1.8,1.8,1.8,1.8
2016-08-31,1.8,1.8,1.8,1.8
2016-09-30,1.8,1.8,1.8,1.8
2016-10-31,1.8,1.82,1.8,1.82
2016-11-30,1.82,1.83,1.82,1.83
2016-12-30,1.83,1.83,1.83,1.83
2017-01-31,1.83,1.83,1.83,1.83
2017-02-28,1.83,1.83,1.83,1.83
2017-03-31,1.83,1.83,1.83,1.83
2017-04-28,1.83,1.83,1.83,1.83
2017-05-31,1.83,1.83,1.83,1.83
2017-06-30,1.83,1.83,1.83,1.83
2017-07-31,1.83,1.83,1.83,1.83
2017-08-31,1.83,1.83,1.83,1.83
2017-09-29,1.83,1.83,1.83,1.83
2017-10-31,1.83,1.83,1.83,1.83
